uniprot	sym	idgfam	tdl	name
P0C7N1	OR8U8	GPCR	Tdark	Olfactory receptor 8U8
Q8NGQ5	OR9Q1	GPCR	Tdark	Olfactory receptor 9Q1
P47900	P2RY1	GPCR	Tchem	P2Y purinoceptor 1
O00443	PIK3C2A	Kinase	Tchem	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha
P27986	PIK3R1	Kinase	Tchem	Phosphatidylinositol 3-kinase regulatory subunit alpha
P41586	ADCYAP1R1	GPCR	Tchem	Pituitary adenylate cyclase-activating polypeptide type I receptor
Q8NHA4	OR2AE1	GPCR	Tdark	Olfactory receptor 2AE1
A6NND4	OR2AT4	GPCR	Tdark	Olfactory receptor 2AT4
Q8NGL6	OR4A15	GPCR	Tdark	Olfactory receptor 4A15
Q8NH61	OR51F2	GPCR	Tdark	Olfactory receptor 51F2
Q6U736	OPN5	GPCR	Tbio	Opsin-5
P03999	OPN1SW	GPCR	Tbio	Short-wave-sensitive opsin 1
P08100	RHO	GPCR	Tbio	Rhodopsin
Q9P1Q5	OR1A1	GPCR	Tdark	Olfactory receptor 1A1
Q8NGR6	OR1B1	GPCR	Tdark	Olfactory receptor 1B1
Q8NHA8	OR1F12	GPCR	Tdark	Olfactory receptor 1F12
Q8NGS3	OR1J1	GPCR	Tdark	Olfactory receptor 1J1
Q8NGS1	OR1J4	GPCR	Tdark	Olfactory receptor 1J4
Q8NGR5	OR1L4	GPCR	Tdark	Olfactory receptor 1L4
Q8NGS0	OR1N1	GPCR	Tdark	Olfactory receptor 1N1
Q8NGQ3	OR1S2	GPCR	Tdark	Olfactory receptor 1S2
Q8NGT9	OR2A42	GPCR	Tdark	Olfactory receptor 2A1/2A42
Q5JQS5	OR2B11	GPCR	Tdark	Olfactory receptor 2B11
Q8N628	OR2C3	GPCR	Tdark	Olfactory receptor 2C3
Q9GZK4	OR2H1	GPCR	Tdark	Olfactory receptor 2H1
Q8NGT1	OR2K2	GPCR	Tdark	Olfactory receptor 2K2
Q8NH03	OR2T3	GPCR	Tdark	Olfactory receptor 2T3
Q8NHA6	OR2W6P	GPCR	Tdark	Putative olfactory receptor 2W6
Q8NGB9	OR4F6	GPCR	Tdark	Olfactory receptor 4F6
Q8NGD0	OR4M1	GPCR	Tdark	Olfactory receptor 4M1
Q8NGD1	OR4N2	GPCR	Tdark	Olfactory receptor 4N2
Q8NGB4	OR4S1	GPCR	Tdark	Olfactory receptor 4S1
Q8NGP8	OR5M1	GPCR	Tdark	Olfactory receptor 5M1
Q8NGP6	OR5M8	GPCR	Tdark	Olfactory receptor 5M8
Q8WZ92	OR5P2	GPCR	Tdark	Olfactory receptor 5P2
Q8NH85	OR5R1	GPCR	Tdark	Olfactory receptor 5R1
Q8NGW1	OR6B3	GPCR	Tdark	Olfactory receptor 6B3
Q96RD1	OR6C1	GPCR	Tdark	Olfactory receptor 6C1
Q8NGY3	OR6K3	GPCR	Tdark	Olfactory receptor 6K3
Q8NGX9	OR6P1	GPCR	Tdark	Olfactory receptor 6P1
Q8NGX8	OR6Y1	GPCR	Tdark	Olfactory receptor 6Y1
O60412	OR7C2	GPCR	Tdark	Olfactory receptor 7C2
Q8NGG8	OR8B3	GPCR	Tdark	Olfactory receptor 8B3
Q9GZM6	OR8D2	GPCR	Tdark	Olfactory receptor 8D2
Q8NG78	OR8G5	GPCR	Tdark	Olfactory receptor 8G5
Q8N146	OR8H3	GPCR	Tdark	Olfactory receptor 8H3
Q8NGG5	OR8K1	GPCR	Tdark	Olfactory receptor 8K1
Q8NH50	OR8K5	GPCR	Tdark	Olfactory receptor 8K5
Q8NGT5	OR9A2	GPCR	Tdark	Olfactory receptor 9A2
P0C7N8	OR9G9	GPCR	Tdark	Olfactory receptor 9G9
Q8NGE5	OR10A7	GPCR	Tdark	Olfactory receptor 10A7
Q8NH19	OR10AG1	GPCR	Tdark	Olfactory receptor 10AG1
Q8NGN6	OR10G7	GPCR	Tdark	Olfactory receptor 10G7
Q8NHC4	OR10J5	GPCR	Tdark	Olfactory receptor 10J5
Q8NGE3	OR10P1	GPCR	Tdark	Olfactory receptor 10P1
Q8NGX3	OR10T2	GPCR	Tdark	Olfactory receptor 10T2
Q8NG94	OR11H1	GPCR	Tdark	Olfactory receptor 11H1
Q8NGC7	OR11H6	GPCR	Tdark	Olfactory receptor 11H6
Q8NGX0	OR11L1	GPCR	Tdark	Olfactory receptor 11L1
P58182	OR12D2	GPCR	Tdark	Olfactory receptor 12D2
Q8NGS5	OR13C4	GPCR	Tdark	Olfactory receptor 13C4
Q8NGV5	OR13D1	GPCR	Tdark	Olfactory receptor 13D1
Q8NHC5	OR14A16	GPCR	Tdark	Olfactory receptor 14A16
Q8NGZ2	OR14K1	GPCR	Tdark	Olfactory receptor 14K1
Q8NGB8	OR4F15	GPCR	Tdark	Olfactory receptor 4F15
Q8NGJ7	OR51A2	GPCR	Tdark	Olfactory receptor 51A2
Q9Y5P1	OR51B2	GPCR	Tdark	Olfactory receptor 51B2
Q9H340	OR51B6	GPCR	Tdark	Olfactory receptor 51B6
Q8TCB6	OR51E1	GPCR	Tbio	Olfactory receptor 51E1
Q8NGK0	OR51G2	GPCR	Tdark	Olfactory receptor 51G2
Q6IFN5	OR7E24	GPCR	Tdark	Olfactory receptor 7E24
P34982	OR1D2	GPCR	Tbio	Olfactory receptor 1D2
P30953	OR1E1	GPCR	Tdark	Olfactory receptor 1E1
O43749	OR1F1	GPCR	Tdark	Olfactory receptor 1F1
P47890	OR1G1	GPCR	Tdark	Olfactory receptor 1G1
Q8NGR3	OR1K1	GPCR	Tdark	Olfactory receptor 1K1
Q8NGR8	OR1L8	GPCR	Tdark	Olfactory receptor 1L8
Q15612	OR1Q1	GPCR	Tdark	Olfactory receptor 1Q1
O95006	OR2F2	GPCR	Tdark	Olfactory receptor 2F2
Q8NGZ4	OR2G3	GPCR	Tdark	Olfactory receptor 2G3
Q9GZK6	OR2J1	GPCR	Tdark	Olfactory receptor 2J1
Q8NH16	OR2L2	GPCR	Tdark	Olfactory receptor 2L2
Q8NH51	OR8K3	GPCR	Tdark	Olfactory receptor 8K3
Q8NGU2	OR9A4	GPCR	Tdark	Olfactory receptor 9A4
Q8NGQ6	OR9I1	GPCR	Tdark	Olfactory receptor 9I1
Q8NGE9	OR9Q2	GPCR	Tdark	Olfactory receptor 9Q2
O43613	HCRTR1	GPCR	Tclin	Orexin receptor type 1
O43614	HCRTR2	GPCR	Tclin	Orexin receptor type 2
Q9H208	OR10A2	GPCR	Tdark	Olfactory receptor 10A2
Q9H209	OR10A4	GPCR	Tbio	Olfactory receptor 10A4
Q8NH08	OR10AC1	GPCR	Tdark	Olfactory receptor 10AC1
Q96KK4	OR10C1	GPCR	Tdark	Olfactory receptor 10C1
Q8NGN3	OR10G4	GPCR	Tdark	Olfactory receptor 10G4
Q8NGY0	OR10X1	GPCR	Tdark	Olfactory receptor 10X1
Q8NH07	OR11H2	GPCR	Tdark	Olfactory receptor 11H2
Q8NH95	OR13C6P	GPCR	Tdark	Putative olfactory receptor 13C6
Q8NGS7	OR13C8	GPCR	Tdark	Olfactory receptor 13C8
Q8NG92	OR13H1	GPCR	Tdark	Olfactory receptor 13H1
Q9H205	OR2AG1	GPCR	Tdark	Olfactory receptor 2AG1
Q5VST9	OBSCN	Kinase	Tbio	Obscurin
Q9UHM6	OPN4	GPCR	Tbio	Melanopsin
P41145	OPRK1	GPCR	Tclin	Kappa-type opioid receptor
P35372	OPRM1	GPCR	Tclin	Mu-type opioid receptor
Q15619	OR1C1	GPCR	Tdark	Olfactory receptor 1C1
P47884	OR1D4	GPCR	Tdark	Olfactory receptor 1D4
Q8WZA6	OR1E3	GPCR	Tdark	Olfactory receptor 1E3
Q8NH06	OR1P1	GPCR	Tdark	Olfactory receptor 1P1
O95047	OR2A4	GPCR	Tdark	Olfactory receptor 2A4
Q9GZK3	OR2B2	GPCR	Tdark	Olfactory receptor 2B2
P59922	OR2B8P	GPCR	Tdark	Putative olfactory receptor 2B8
Q9H210	OR2D2	GPCR	Tdark	Olfactory receptor 2D2
Q8NGZ5	OR2G2	GPCR	Tdark	Olfactory receptor 2G2
Q8NG85	OR2L3	GPCR	Tdark	Olfactory receptor 2L3
Q8NG83	OR2M3	GPCR	Tdark	Olfactory receptor 2M3
Q8NG81	OR2M7	GPCR	Tdark	Olfactory receptor 2M7
Q6IF00	OR2T2	GPCR	Tdark	Olfactory receptor 2T2
Q8NH00	OR2T4	GPCR	Tdark	Olfactory receptor 2T4
Q8NHB1	OR2V1	GPCR	Tdark	Olfactory receptor 2V1
Q8NGV0	OR2Y1	GPCR	Tdark	Olfactory receptor 2Y1
P0C604	OR4A8	GPCR	Tdark	Olfactory receptor 4A8
Q8NH37	OR4C3	GPCR	Tdark	Olfactory receptor 4C3
Q8NGP0	OR4C13	GPCR	Tdark	Olfactory receptor 4C13
Q8NGL9	OR4C16	GPCR	Tdark	Olfactory receptor 4C16
Q8NGN0	OR4D5	GPCR	Tdark	Olfactory receptor 4D5
Q8NGE8	OR4D9	GPCR	Tdark	Olfactory receptor 4D9
Q6IEY1	OR4F16	GPCR	Tdark	Olfactory receptor 4F3/4F16/4F29
Q8NH05	OR4Q3	GPCR	Tbio	Olfactory receptor 4Q3
Q8NH49	OR4X1	GPCR	Tdark	Olfactory receptor 4X1
Q8NGJ0	OR5A1	GPCR	Tdark	Olfactory receptor 5A1
Q8NGC5	OR6J1	GPCR	Tdark	Olfactory receptor 6J1
Q8NGY2	OR6K2	GPCR	Tdark	Olfactory receptor 6K2
Q96RA2	OR7D2	GPCR	Tdark	Olfactory receptor 7D2
Q8NG99	OR7G2	GPCR	Tdark	Olfactory receptor 7G2
P0C7N5	OR8U9	GPCR	Tdark	Olfactory receptor 8U9
Q96P68	OXGR1	GPCR	Tbio	2-oxoglutarate receptor 1
P58181	OR10A3	GPCR	Tdark	Olfactory receptor 10A3
Q8NGN7	OR10D4P	GPCR	Tdark	Putative olfactory receptor 10D4
Q8NGC3	OR10G2	GPCR	Tdark	Olfactory receptor 10G2
Q8NH81	OR10G6	GPCR	Tdark	Olfactory receptor 10G6
O60404	OR10H3	GPCR	Tdark	Olfactory receptor 10H3
Q8NGA6	OR10H5	GPCR	Tdark	Olfactory receptor 10H5
P0C629	OR10J4	GPCR	Tdark	Olfactory receptor 10J4
Q8NGX5	OR10K1	GPCR	Tdark	Olfactory receptor 10K1
Q8NGQ4	OR10Q1	GPCR	Tdark	Olfactory receptor 10Q1
Q8NGI7	OR10V1	GPCR	Tdark	Olfactory receptor 10V1
Q8NGY1	OR10Z1	GPCR	Tdark	Olfactory receptor 10Z1
Q8NGC1	OR11G2	GPCR	Tdark	Olfactory receptor 11G2
Q8NGC8	OR11H7	GPCR	Tdark	Olfactory receptor 11H7
Q9UGF7	OR12D3	GPCR	Tdark	Olfactory receptor 12D3
Q8NGS9	OR13C2	GPCR	Tdark	Olfactory receptor 13C2
Q8NGS4	OR13F1	GPCR	Tdark	Olfactory receptor 13F1
Q9UGF5	OR14J1	GPCR	Tdark	Olfactory receptor 14J1
Q8NGZ0	OR2AJ1	GPCR	Tdark	Olfactory receptor 2AJ1
Q8NH01	OR2T11	GPCR	Tdark	Olfactory receptor 2T11
A6NHA9	OR4C46	GPCR	Tdark	Olfactory receptor 4C46
O95013	OR4F21	GPCR	Tdark	Olfactory receptor 4F21
Q9H339	OR51B5	GPCR	Tdark	Olfactory receptor 51B5
Q9H342	OR51J1	GPCR	Tdark	Olfactory receptor 51J1
Q9H341	OR51M1	GPCR	Tdark	Olfactory receptor 51M1
Q8NGJ8	OR51S1	GPCR	Tdark	Olfactory receptor 51S1
Q9H2C8	OR51V1	GPCR	Tdark	Olfactory receptor 51V1
Q96RD2	OR52B2	GPCR	Tdark	Olfactory receptor 52B2
Q8NGJ4	OR52E2	GPCR	Tdark	Olfactory receptor 52E2
Q96RD3	OR52E6	GPCR	Tdark	Olfactory receptor 52E6
Q8NH60	OR52J3	GPCR	Tdark	Olfactory receptor 52J3
Q8NGK4	OR52K1	GPCR	Tdark	Olfactory receptor 52K1
P0C646	OR52Z1	GPCR	Tdark	Olfactory receptor 52Z1
Q8NGI3	OR56B1	GPCR	Tdark	Olfactory receptor 56B1
A6NCV1	OR6C74	GPCR	Tdark	Olfactory receptor 6C74
Q8NGY9	OR2L8	GPCR	Tdark	Olfactory receptor 2L8
O43869	OR2T1	GPCR	Tdark	Olfactory receptor 2T1
Q8NHC8	OR2T6	GPCR	Tdark	Olfactory receptor 2T6
A6NFC9	OR2W5	GPCR	Tdark	Putative olfactory receptor 2W5
Q8NGN8	OR4A4P	GPCR	Tdark	Putative olfactory receptor 4A4
Q8NGI4	OR4D11	GPCR	Tdark	Olfactory receptor 4D11
Q96R69	OR4F4	GPCR	Tdark	Olfactory receptor 4F4
Q96R72	OR4K3	GPCR	Tdark	Olfactory receptor 4K3
Q8NH42	OR4K13	GPCR	Tdark	Olfactory receptor 4K13
Q8NH41	OR4K15	GPCR	Tdark	Olfactory receptor 4K15
Q8NGB6	OR4M2	GPCR	Tdark	Olfactory receptor 4M2
Q8N0Y3	OR4N4	GPCR	Tdark	Olfactory receptor 4N4
Q8NH73	OR4S2	GPCR	Tdark	Olfactory receptor 4S2
Q8NH48	OR5B3	GPCR	Tdark	Olfactory receptor 5B3
Q8NH18	OR5J2	GPCR	Tdark	Olfactory receptor 5J2
Q8NGL0	OR5L2	GPCR	Tdark	Olfactory receptor 5L2
Q8NGG3	OR5T3	GPCR	Tdark	Olfactory receptor 5T3
Q8NH69	OR5W2	GPCR	Tdark	Olfactory receptor 5W2
Q8NGZ6	OR6F1	GPCR	Tdark	Olfactory receptor 6F1
Q8NGM8	OR6M1	GPCR	Tdark	Olfactory receptor 6M1
Q8NGQ2	OR6Q1	GPCR	Tdark	Olfactory receptor 6Q1
Q8NH79	OR6X1	GPCR	Tdark	Olfactory receptor 6X1
Q15622	OR7A5	GPCR	Tdark	Olfactory receptor 7A5
Q8NGG7	OR8A1	GPCR	Tdark	Olfactory receptor 8A1
Q15620	OR8B8	GPCR	Tdark	Olfactory receptor 8B8
Q8NGM9	OR8D4	GPCR	Tdark	Olfactory receptor 8D4
Q6IF36	OR8G2	GPCR	Tdark	Olfactory receptor 8G2
Q8NGG4	OR8H1	GPCR	Tdark	Olfactory receptor 8H1
Q8N0Y5	OR8I2	GPCR	Tdark	Olfactory receptor 8I2
Q8NGP2	OR8J1	GPCR	Tdark	Olfactory receptor 8J1
Q8NGU1	OR9A1P	GPCR	Tdark	Putative olfactory receptor 9A1
Q8NH87	OR9G1	GPCR	Tdark	Olfactory receptor 9G1
Q8NGQ1	OR9G4	GPCR	Tdark	Olfactory receptor 9G4
P51575	P2RX1	IC	Tchem	P2X purinoceptor 1
Q93086	P2RX5	IC	Tbio	P2X purinoceptor 5
Q15077	P2RY6	GPCR	Tchem	P2Y purinoceptor 6
Q86VZ1	P2RY8	GPCR	Tbio	P2Y purinoceptor 8
O75747	PIK3C2G	Kinase	Tchem	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma
Q13177	PAK2	Kinase	Tchem	Serine/threonine-protein kinase PAK 2
O75914	PAK3	Kinase	Tchem	Serine/threonine-protein kinase PAK 3
Q8TE04	PANK1	Kinase	Tchem	Pantothenate kinase 1
P55085	F2RL1	GPCR	Tchem	Proteinase-activated receptor 2
Q16654	PDK4	Kinase	Tbio	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial
Q15743	GPR68	GPCR	Tbio	Ovarian cancer G-protein coupled receptor 1
P41146	OPRL1	GPCR	Tchem	Nociceptin receptor
O95747	OXSR1	Kinase	Tchem	Serine/threonine-protein kinase OSR1
Q9NVE7	PANK4	Kinase	Tdark	Pantothenate kinase 4
Q96RD6	PANX2	IC	Tbio	Pannexin-2
Q58A45	PAN3	Kinase	Tdark	PAB-dependent poly(A)-specific ribonuclease subunit PAN3
P56373	P2RX3	IC	Tchem	P2X purinoceptor 3
O15547	P2RX6	IC	Tbio	P2X purinoceptor 6
Q9H244	P2RY12	GPCR	Tclin	P2Y purinoceptor 12
Q9BPV8	P2RY13	GPCR	Tchem	P2Y purinoceptor 13
Q9Y5Y4	PTGDR2	GPCR	Tchem	Prostaglandin D2 receptor 2
Q8TDS5	OXER1	GPCR	Tchem	Oxoeicosanoid receptor 1
Q99572	P2RX7	IC	Tchem	P2X purinoceptor 7
Q9P286	PAK5	Kinase	Tchem	Serine/threonine-protein kinase PAK 5
Q9BZ23	PANK2	Kinase	Tchem	Pantothenate kinase 2, mitochondrial
Q96RD7	PANX1	IC	Tbio	Pannexin-1
P25116	F2R	GPCR	Tclin	Proteinase-activated receptor 1
Q96RI0	F2RL3	GPCR	Tchem	Proteinase-activated receptor 4
Q96RG2	PASK	Kinase	Tbio	PAS domain-containing serine/threonine-protein kinase
P51582	P2RY4	GPCR	Tchem	P2Y purinoceptor 4
Q96G91	P2RY11	GPCR	Tchem	P2Y purinoceptor 11
P04001	OPN1MW2	GPCR	Tdark	Medium-wave-sensitive opsin 1
P04000	OPN1LW	GPCR	Tbio	Long-wave-sensitive opsin 1
O14718	RRH	GPCR	Tbio	Visual pigment-like receptor peropsin
Q6IF42	OR2A2	GPCR	Tdark	Olfactory receptor 2A2
Q13607	OR2F1	GPCR	Tdark	Olfactory receptor 2F1
O95918	OR2H2	GPCR	Tbio	Olfactory receptor 2H2
O76002	OR2J2	GPCR	Tdark	Olfactory receptor 2J2
Q96R28	OR2M2	GPCR	Tdark	Olfactory receptor 2M2
Q9NQN1	OR2S2	GPCR	Tdark	Olfactory receptor 2S2
Q6IEZ7	OR2T5	GPCR	Tdark	Olfactory receptor 2T5
P47883	OR3A4P	GPCR	Tdark	Putative olfactory receptor 3A4
Q8NGD4	OR4K1	GPCR	Tdark	Olfactory receptor 4K1
Q8NGC6	OR4K17	GPCR	Tdark	Olfactory receptor 4K17
Q8NGL7	OR4P4	GPCR	Tdark	Olfactory receptor 4P4
Q96R09	OR5B2	GPCR	Tdark	Olfactory receptor 5B2
Q8NGR4	OR5C1	GPCR	Tdark	Olfactory receptor 5C1
Q8NGL4	OR5D13	GPCR	Tdark	Olfactory receptor 5D13
O95221	OR5F1	GPCR	Tdark	Olfactory receptor 5F1
Q8NGV7	OR5H2	GPCR	Tdark	Olfactory receptor 5H2
Q8NHB8	OR5K2	GPCR	Tdark	Olfactory receptor 5K2
A6NMS3	OR5K4	GPCR	Tdark	Olfactory receptor 5K4
Q8NGP3	OR5M9	GPCR	Tdark	Olfactory receptor 5M9
Q96RB7	OR5M11	GPCR	Tdark	Olfactory receptor 5M11
Q8WZ94	OR5P3	GPCR	Tdark	Olfactory receptor 5P3
Q8NGG2	OR5T2	GPCR	Tdark	Olfactory receptor 5T2
Q9UGF6	OR5V1	GPCR	Tdark	Olfactory receptor 5V1
Q8NGE1	OR6C4	GPCR	Tdark	Olfactory receptor 6C4
Q8NGA2	OR7A2P	GPCR	Tdark	Putative olfactory receptor 7A2
O76100	OR7A10	GPCR	Tdark	Olfactory receptor 7A10
O76099	OR7C1	GPCR	Tdark	Olfactory receptor 7C1
Q8NGA0	OR7G1	GPCR	Tdark	Olfactory receptor 7G1
Q96RD0	OR8B2	GPCR	Tdark	Olfactory receptor 8B2
Q15617	OR8G1	GPCR	Tdark	Olfactory receptor 8G1
Q8N162	OR8H2	GPCR	Tdark	Olfactory receptor 8H2
Q8NGG1	OR8J2	GPCR	Tdark	Olfactory receptor 8J2
Q8NGG0	OR8J3	GPCR	Tdark	Olfactory receptor 8J3
Q8NH10	OR8U1	GPCR	Tdark	Olfactory receptor 8U1
P30559	OXTR	GPCR	Tclin	Oxytocin receptor
P41231	P2RY2	GPCR	Tclin	P2Y purinoceptor 2
Q8IZE3	SCYL3	Kinase	Tdark	Protein-associating with the carboxyl-terminal domain of ezrin
Q9H1Y3	OPN3	GPCR	Tbio	Opsin-3
Q9Y585	OR1A2	GPCR	Tdark	Olfactory receptor 1A2
Q96R84	OR1F2P	GPCR	Tdark	Putative olfactory receptor 1F2
O60431	OR1I1	GPCR	Tdark	Olfactory receptor 1I1
Q8NH93	OR1L3	GPCR	Tdark	Olfactory receptor 1L3
Q8NGR2	OR1L6	GPCR	Tdark	Olfactory receptor 1L6
Q8NH92	OR1S1	GPCR	Tdark	Olfactory receptor 1S1
Q96R48	OR2A5	GPCR	Tdark	Olfactory receptor 2A5
P58173	OR2B6	GPCR	Tdark	Olfactory receptor 2B6
Q8NGH3	OR2D3	GPCR	Tdark	Olfactory receptor 2D3
Q5TZ20	OR2G6	GPCR	Tdark	Olfactory receptor 2G6
Q8NGU4	OR2I1P	GPCR	Tdark	Putative olfactory receptor 2I1
O76001	OR2J3	GPCR	Tdark	Olfactory receptor 2J3
Q96R27	OR2M4	GPCR	Tdark	Olfactory receptor 2M4
A6NH00	OR2T8	GPCR	Tdark	Olfactory receptor 2T8
Q7Z3T1	OR2W3	GPCR	Tbio	Olfactory receptor 2W3
P47893	OR3A2	GPCR	Tdark	Olfactory receptor 3A2
P47888	OR3A3	GPCR	Tdark	Olfactory receptor 3A3
Q8NGF8	OR4B1	GPCR	Tdark	Olfactory receptor 4B1
Q6IEV9	OR4C11	GPCR	Tdark	Olfactory receptor 4C11
Q8NGM1	OR4C15	GPCR	Tdark	Olfactory receptor 4C15
Q15615	OR4D1	GPCR	Tdark	Olfactory receptor 4D1
Q8NGI6	OR4D10	GPCR	Tdark	Olfactory receptor 4D10
P0C645	OR4E1	GPCR	Tdark	Olfactory receptor 4E1
Q8NGD2	OR4K2	GPCR	Tdark	Olfactory receptor 4K2
Q8NGD3	OR4K5	GPCR	Tdark	Olfactory receptor 4K5
Q8NGD5	OR4K14	GPCR	Tdark	Olfactory receptor 4K14
Q8NH43	OR4L1	GPCR	Tdark	Olfactory receptor 4L1
Q8IXE1	OR4N5	GPCR	Tdark	Olfactory receptor 4N5
Q96R08	OR5B12	GPCR	Tdark	Olfactory receptor 5B12
A6NL26	OR5B21	GPCR	Tdark	Olfactory receptor 5B21
Q8NGL3	OR5D14	GPCR	Tdark	Olfactory receptor 5D14
Q8NGL1	OR5D18	GPCR	Tdark	Olfactory receptor 5D18
P0C626	OR5G3	GPCR	Tdark	Olfactory receptor 5G3
A6NKK0	OR5H1	GPCR	Tdark	Olfactory receptor 5H1
Q8NHB7	OR5K1	GPCR	Tdark	Olfactory receptor 5K1
Q8NGL2	OR5L1	GPCR	Tdark	Olfactory receptor 5L1
O95007	OR6B1	GPCR	Tdark	Olfactory receptor 6B1
Q9NZP0	OR6C3	GPCR	Tdark	Olfactory receptor 6C3
Q8NGW6	OR6K6	GPCR	Tdark	Olfactory receptor 6K6
Q8NGY6	OR6N2	GPCR	Tdark	Olfactory receptor 6N2
Q8NGN1	OR6T1	GPCR	Tdark	Olfactory receptor 6T1
O14581	OR7A17	GPCR	Tdark	Olfactory receptor 7A17
Q8NG98	OR7D4	GPCR	Tbio	Olfactory receptor 7D4
Q8NG95	OR7G3	GPCR	Tdark	Olfactory receptor 7G3
Q96RC9	OR8B4	GPCR	Tdark	Olfactory receptor 8B4
Q8NGG6	OR8B12	GPCR	Tdark	Olfactory receptor 8B12
Q8WZ84	OR8D1	GPCR	Tdark	Olfactory receptor 8D1
Q8NH09	OR8S1	GPCR	Tdark	Olfactory receptor 8S1
Q8NGE7	OR9K2	GPCR	Tdark	Olfactory receptor 9K2
O00398	P2RY10	GPCR	Tchem	Putative P2Y purinoceptor 10
Q15391	P2RY14	GPCR	Tbio	P2Y purinoceptor 14
O00750	PIK3C2B	Kinase	Tchem	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta
Q9H999	PANK3	Kinase	Tchem	Pantothenate kinase 3
P49674	CSNK1E	Kinase	Tchem	Casein kinase I isoform epsilon
Q9Y6M4	CSNK1G3	Kinase	Tchem	Casein kinase I isoform gamma-3
Q96L42	KCNH8	IC	Tclin	Potassium voltage-gated channel subfamily H member 8
Q92806	KCNJ9	IC	Tbio	G protein-activated inward rectifier potassium channel 3
O00180	KCNK1	IC	Tbio	Potassium channel subfamily K member 1
O95069	KCNK2	IC	Tclin	Potassium channel subfamily K member 2
P10721	KIT	Kinase	Tclin	Mast/stem cell growth factor receptor Kit
Q14573	ITPR3	IC	Tchem	Inositol 1,4,5-trisphosphate receptor type 3
P54819	AK2	Kinase	Tbio	Adenylate kinase 2, mitochondrial
P78368	CSNK1G2	Kinase	Tchem	Casein kinase I isoform gamma-2
Q13303	KCNAB2	IC	Tbio	Voltage-gated potassium channel subunit beta-2
Q9UQM7	CAMK2A	Kinase	Tchem	Calcium/calmodulin-dependent protein kinase type II subunit alpha
Q13554	CAMK2B	Kinase	Tchem	Calcium/calmodulin-dependent protein kinase type II subunit beta
Q6PIL6	KCNIP4	IC	Tbio	Kv channel-interacting protein 4
P78508	KCNJ10	IC	Tbio	ATP-sensitive inward rectifier potassium channel 10
Q14654	KCNJ11	IC	Tclin	ATP-sensitive inward rectifier potassium channel 11
Q12791	KCNMA1	IC	Tclin	Calcium-activated potassium channel subunit alpha-1
Q16558	KCNMB1	IC	Tbio	Calcium-activated potassium channel subunit beta-1
Q09470	KCNA1	IC	Tclin	Potassium voltage-gated channel subfamily A member 1
P17658	KCNA6	IC	Tclin	Potassium voltage-gated channel subfamily A member 6
Q9NSA2	KCND1	IC	Tclin	Potassium voltage-gated channel subfamily D member 1
Q9UK17	KCND3	IC	Tclin	Potassium voltage-gated channel subfamily D member 3
Q8WWG9	KCNE4	IC	Tbio	Potassium voltage-gated channel subfamily E member 4
Q8TDN1	KCNG4	IC	Tclin	Potassium voltage-gated channel subfamily G member 4
O95259	KCNH1	IC	Tclin	Potassium voltage-gated channel subfamily H member 1
P48050	KCNJ4	IC	Tchem	Inward rectifier potassium channel 4
O14649	KCNK3	IC	Tclin	Potassium channel subfamily K member 3
Q9NWZ3	IRAK4	Kinase	Tchem	Interleukin-1 receptor-associated kinase 4
P23458	JAK1	Kinase	Tclin	Tyrosine-protein kinase JAK1
O60674	JAK2	Kinase	Tclin	Tyrosine-protein kinase JAK2
P22694	PRKACB	Kinase	Tchem	cAMP-dependent protein kinase catalytic subunit beta
O95279	KCNK5	IC	Tbio	Potassium channel subfamily K member 5
Q96T55	KCNK16	IC	Tdark	Potassium channel subfamily K member 16
Q9UGI6	KCNN3	IC	Tchem	Small conductance calcium-activated potassium channel protein 3
O15554	KCNN4	IC	Tchem	Intermediate conductance calcium-activated potassium channel protein 4
O43526	KCNQ2	IC	Tclin	Potassium voltage-gated channel subfamily KQT member 2
P56696	KCNQ4	IC	Tclin	Potassium voltage-gated channel subfamily KQT member 4
P00568	AK1	Kinase	Tbio	Adenylate kinase isoenzyme 1
P22612	PRKACG	Kinase	Tbio	cAMP-dependent protein kinase catalytic subunit gamma
Q6P2M8	PNCK	Kinase	Tbio	Calcium/calmodulin-dependent protein kinase type 1B
Q8IU85	CAMK1D	Kinase	Tchem	Calcium/calmodulin-dependent protein kinase type 1D
Q96KK3	KCNS1	IC	Tclin	Potassium voltage-gated channel subfamily S member 1
P30085	CMPK1	Kinase	Tbio	UMP-CMP kinase
O00142	TK2	Kinase	Tchem	Thymidine kinase 2, mitochondrial
P46020	PHKA1	Kinase	Tbio	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform
Q9Y3D8	AK6	Kinase	Tbio	Adenylate kinase isoenzyme 6
O60229	KALRN	Kinase	Tbio	Kalirin
P48730	CSNK1D	Kinase	Tchem	Casein kinase I isoform delta
Q13555	CAMK2G	Kinase	Tchem	Calcium/calmodulin-dependent protein kinase type II subunit gamma
Q9NS61	KCNIP2	IC	Tbio	Kv channel-interacting protein 2
